DayOfWeek,TimeOfDay,mean,median,std,quantile_05,quantile_25,quantile_40,quantile_60,quantile_75,quantile_95,max,count
0,00:00:00,2.9963090800126735,2.37967199619535,2.5204846872311593,0.7090075213611179,1.3735862570807604,1.9518522840119106,2.8599155816425657,3.9231634570362384,6.890636552077085,8.354678405225012,10.0
0,00:30:00,2.621705249493898,2.248446616950612,2.0139209065044867,0.6556891379302745,1.2452950233543276,1.8048798877042416,2.74017052352801,3.5330678818304655,5.5462819451669345,6.431894671413891,9.47517730496454
0,01:00:00,2.934275518468097,2.3476821657781546,2.5005661415813636,0.7017182883157198,1.2935555559229979,1.9132437632410533,2.8452157285096726,3.8330283250115387,6.7378875019754725,8.318051848265725,9.851063829787234
0,01:30:00,2.601165141033988,2.223652992320846,2.021276148545987,0.6346894526663921,1.2183239381964592,1.7869833457410387,2.68681643960699,3.5149788893991256,5.546786282206577,6.429643528784144,9.51063829787234
0,02:00:00,2.884145738503296,2.261998851379273,2.4878602475599196,0.6713368967873559,1.2693498622158013,1.881678747017531,2.774023504230037,3.7537410551590913,6.684955418769148,8.239099109658442,9.872340425531915
0,02:30:00,2.6229511788790605,2.2528484663965473,2.008723939422518,0.6599750262704361,1.2480757230925426,1.8077345891960477,2.7309284578240627,3.555843956692837,5.534077206214787,6.381971339728251,9.411347517730496
0,03:00:00,2.9060944616737117,2.3156350579455607,2.508970257771781,0.673006624865519,1.2421198432481464,1.8722891414154732,2.844784901782025,3.815355082073102,6.708999068948321,8.31740844162513,9.900709219858156
0,03:30:00,2.597706410685161,2.2003583289904625,2.0194226170586704,0.6352669391651166,1.209652081764803,1.728778955929451,2.7421688275915637,3.54897516099633,5.528450048645736,6.37601522662344,9.51063829787234
0,04:00:00,2.884867831072616,2.31460145687842,2.4808025107992098,0.6588931532692536,1.2536616689085212,1.849780031391083,2.8469309189530265,3.798907934460999,6.641409437894933,8.222866120629044,9.879432624113475
0,04:30:00,2.586830096297697,2.2058007569485714,1.9954862260216357,0.6820650232965546,1.1893080804123546,1.7231033207825424,2.7162873434561443,3.5164106008516214,5.480707157899657,6.323599595673124,9.446808510638299
0,05:00:00,2.9221192644727796,2.2500848920716354,2.587058589482266,0.6620008567660918,1.2194217002216914,1.8064280175192102,2.792271228919156,3.754165463296155,7.01344204770224,8.29596485515337,9.843971631205674
0,05:30:00,2.7050521912574315,2.1851019288533866,2.407788837023262,0.6084423641844836,1.1545507655834835,1.722337927349466,2.683657479684412,3.4981134305021655,6.2662303255019784,7.850441246535671,9.5177304964539
0,06:00:00,3.0097794856505664,2.2809108913961813,2.7590637499282127,0.6912856050751919,1.2318984974937215,1.8218358969701722,2.811093546293932,3.7791101272577867,7.443910890908723,8.966797420455597,9.794326241134751
0,06:30:00,2.7827838424715363,2.2284766821792372,2.4765011646483006,0.625073064179858,1.203959137701538,1.774305343245646,2.707985222649119,3.6080012438741544,6.498405256062275,7.941229874677874,9.453900709219859
0,07:00:00,3.1396068891643454,2.3316908095724944,2.98300751024142,0.652300633264142,1.2308161062322727,1.9014206025768194,2.8369991300874884,3.9698173320696073,7.949557863044146,9.620590988140606,9.829787234042554
0,07:30:00,3.0613545815144283,2.4202863922123092,2.681257103855323,0.7359912105126537,1.3336935826889185,1.9819708448606113,2.9715709130526022,3.9089336659557175,7.189836561617675,8.64398719702114,9.51063829787234
0,08:00:00,3.491014177231648,2.7483298103483773,3.0965945751000046,0.7497351773933624,1.388406970125231,2.1529475702349834,3.38646879157435,4.552085360595302,8.342285431736101,9.779655474548314,9.851063829787234
0,08:30:00,3.8996561589870375,3.2607662858208855,3.277879696215861,0.7678700711976888,1.800020092032786,2.6139829915682897,3.8611422780375717,5.1034190031981845,8.927621570568256,10.280780601182117,9.425531914893616
0,09:00:00,7.316132940029209,6.735719959640307,4.466398267587481,2.3958029171548225,4.421851953589008,5.794068095721413,7.802945568283844,9.61721870995208,13.555540512523375,15.054523687277609,9.539007092198581
0,09:30:00,9.998709752787802,10.253487534628821,3.851342044513971,4.91371475412844,7.821906460462786,9.333625213133956,11.078244874111466,12.203386140954267,14.622905882199968,15.386444800370478,9.24822695035461
0,10:00:00,10.32926901932316,10.461121128296895,3.4885818110792397,5.8045974945583065,8.381796315917569,9.643200369220903,11.158784101027596,12.288528750859783,14.616167763883807,15.318529193216165,9.191489361702128
0,10:30:00,10.249255616968886,10.39007591051693,3.525206950433231,5.544770318650077,8.420822334907747,9.56504706082402,11.1762364698866,12.316924625120222,14.475872027313592,15.209096350313391,9.51063829787234
0,11:00:00,10.173987758012215,10.275230819868133,3.4647513234985903,5.570340312096959,8.339322182335376,9.508536117461183,11.083739145676752,12.19135681343039,14.377506626583143,15.113305868529931,9.553191489361701
0,11:30:00,10.195143890148906,10.364788500344265,3.5076906797162892,5.497304016263462,8.327432665550765,9.606063481038412,11.083152334354478,12.2891359849187,14.368689271560847,15.037378724115554,9.581560283687944
0,12:00:00,10.224303525613104,10.318866315080358,3.4561615379523194,5.574057589866646,8.459399584192285,9.6275717603722,11.087624317503701,12.29687875728543,14.318596339417384,14.989467726934105,9.560283687943262
0,12:30:00,10.057451917573482,10.27147764779357,3.4921688649235882,5.3156862507744504,8.286800371036751,9.496401437999767,11.008420059852885,12.14552844874973,14.14078551126271,14.863290730335866,9.588652482269504
0,13:00:00,10.164232238485942,10.324998107695698,3.3883398266291564,5.576255606478514,8.425820567088198,9.565274831849521,11.069973196260845,12.202562003821761,14.145604982158758,14.751876445024509,9.50354609929078
