mean,median
7.537520187477115,3.495967741935484
3.680402724210774,5.016042780748663
8.614323595901087,9.193893129770993
5.762419025623104,3.121761658031088
7.933958079183764,9.083423618634887
2.02893416691397,1.2292682926829268
8.189378728622229,7.12962962962963
5.655563110019259,2.6771300448430493
5.554592359930344,2.8895184135977336
0.3451537841973335,0.37918871252204583
3.8190433027058157,3.456262425447316
8.41927052993309,3.8292682926829267
9.314814685140366,5.161184210526316

Samples used to generate histogram plot: 411542
