mean,median
8.307870644800106,7.777777777777778
5.91652274912331,5.046443331284354
4.0516477735839445,3.311901504787962
7.937606080924989,7.9013906447534765
7.279776843097368,7.003798670465337
3.74326936058538,0.9215686274509803
3.11492598820863,3.3170819790537562
8.815089629385241,8.24
7.0538680784699075,5.933609958506224
5.084478786151303,3.935185185185185
6.046537384708187,4.382716049382716
7.8154712891715645,7.723577235772358
1.5213603277590153,0.8658008658008658
3.2033758443417053,2.5863539445629
6.10330600588399,5.851063829787234
3.4792354900303093,3.2281205164992826
7.309654619428029,4.932735426008969
5.400785103987395,4.46578631452581
7.676145377204347,4.659498207885305
6.641950512816292,5.913043478260869
8.73391772720072,8.4
6.15957616980795,6.802721088435374
0.16759662154143304,0.16783216783216784
4.435758151644391,3.1779661016949152
5.96453887444592,4.062992125984252
1.3255524243780312,1.348314606741573
9.864729992148073,9.606299212598426
3.6274169469371302,2.1403508771929824
8.690798121099679,7.824561403508772
3.9947180706813916,3.9344262295081966
2.823045639588191,1.8
5.342214271548134,4.362745098039215
9.702696166081303,10.405405405405405
5.846960893504734,5.107692474781013
3.6016085375589615,3.6629526462395545
8.916723073081616,8.14935064935065
4.33018664783158,2.578231292517007
4.492064901383894,3.8465336225595994
5.117526686929886,4.081632653061225
2.560536250052963,2.5301204819277108
5.210501431049655,4.673539518900344
8.250076496667381,7.355599214145383
12.76320581007728,13.157894736842104
4.598406679008358,4.56824512534819
7.2792415758498645,6.893063583815029
5.351847236208854,4.255861365953109
0.544631197005733,0.4235294117647059
4.820394974664711,4.708926261319534
2.769806677923064,1.8803418803418803
2.780649782643986,2.703150912106136
8.96664743146504,8.691358024691358
6.896339515817372,5.219178082191781
1.5511364376216503,1.6647342995169083
0.8245605413804781,0.49469964664310956
3.875304712769782,3.356164383561644
4.593615566843848,3.540372670807453
7.821736448987749,6.383720930232558
4.223909446384699,3.532608695652174
6.72731662491122,4.882352941176471
7.132019368965028,4.925
6.094757076226684,5.2040358744394615
8.006814084190864,7.243303571428571
8.244755037111622,8.287937743190662
9.548855849026332,8.133333333333333
3.99251764013516,3.258426966292135
9.284356973193077,9.285714285714286
15.073625349487418,15.333333333333334
1.2892935133879548,0.899749373433584
0.35721208450064357,0.4051601423487544
8.95177323879308,8.263598326359833
8.325294316689899,7.504
7.004575246930876,5.714285714285714
8.031682426777152,7.848784878487849
6.853771991908453,6.356435643564357
10.06280644658338,9.795
9.084574561601894,8.58695652173913
2.5937638868413364,1.5150442477876107
1.2446599382804178,1.1304347826086956
6.404267580489925,5.75
2.5028297237682153,2.4414393689526253

Samples used to generate histogram plot: 2534918
