mean,median
6.331680706680706,3.3333333333333335
1.4423781469319759,0.3671497584541063
5.181658645583435,5.683080065497848
0.043467923987815675,0.01791044776119403
3.223923308055516,2.0
4.864600020788652,2.0718232044198897
3.8837892985295683,2.5530085959885387
4.1711798624190255,0.639344262295082
4.827537191094865,2.013559322033898
1.7230534027811328,1.743682310469314
2.5952351676345775,1.6111111111111112
3.093235588247151,1.4846625766871167
3.6027923336653713,1.5120772946859904
4.428583384224885,1.8556701030927836
3.0333468015348926,1.0600858369098713
4.146285234626202,2.2550143266475646
3.047730155147177,1.123404255319149
4.9805288177194225,1.484375
6.88530075072656,9.801980198019802
5.012865631832231,5.4575523704520394
4.4007148482166585,2.6666666666666665
1.4100842821037112,0.4796511627906977
3.208606615326973,1.569767441860465
5.688028055212725,2.9540047581284696
4.8367256808553885,1.2779552715654952
5.06956013259966,0.5241935483870968
1.2042551892551892,0.6666666666666666
4.540662216030386,2.217821782178218
5.803878868252849,1.7481865284974094
5.067940206954713,2.5622119815668203
4.235217284801308,2.7991266375545854
4.32631933377557,1.430232558139535
6.026093880115413,3.520661157024793
5.433339535419658,5.748987854251012
4.611368848323631,3.8321428571428573
1.1366672638393447,0.9808429118773946
2.7542065705661494,1.5126262626262625
2.276527350956351,1.2984126984126985
2.1853923596224663,1.3888888888888888
1.9784231966323091,1.25
3.087741341478363,2.1812227074235806
0.4316191264699446,0.22545846817691478
2.813156943225874,0.45081967213114754
2.3405044494960885,0.2906574394463668
0.44220843686862815,0.2491349480968858
1.418150509695506,0.23880597014925373
7.510332581817872,4.5
4.830289068070867,2.6219351365899333
4.481994004815881,1.8881987577639752
2.9716344190279123,2.6799594252925862
5.328140293821667,1.2568306010928962
1.9744725781875392,1.5452538631346577
2.104842557544568,1.184573002754821
2.669662578917032,0.45685279187817257
0.31927103989540073,0.0546448087431694
1.3875947593600508,0.8687258687258688
2.5536282420830965,2.664188351920694
2.513581824497583,0.6842105263157895
1.6915922506308534,0.5544041450777202
2.8710491478388307,1.2630208333333333
6.1039860481067905,5.911242603550296
3.710681002811647,1.0854700854700854
4.95325581883466,4.2745098039215685
3.5745837563686758,1.2679738562091503
0.4116604036096076,0.429635761589404
6.523670120569133,3.0466830466830466
0.6751369519600379,0.4921507064364207
6.782457424739886,1.9980970504281637
3.6319207510119904,1.378787878787879
2.4390109579256336,2.18018018018018
3.729342678700361,3.1900000000000004
5.533833544485752,3.8863636363636362
4.929081794531346,1.3373493975903614
2.6305688530286067,2.78125
1.3864480623400588,0.38095238095238093
6.106011361989593,7.709090909090909
1.2645289644432673,0.6560636182902585
0.019880715705765408,0.019880715705765408
3.4974299198237047,1.8145956607495068
2.8475991078164467,1.9954819277108433
3.226535620043673,1.525
3.984534102128693,2.2842105263157895
1.858696827216284,0.40229885057471265
4.794599104236252,0.9471153846153846

Samples used to generate histogram plot: 2638531
