DayOfWeek,TimeOfDay,mean,median,std,quantile_05,quantile_25,quantile_40,quantile_60,quantile_75,quantile_95,max,count
0,00:00:00,73.88987484422964,57.11480773053571,61.42762160887877,20.35233539977629,37.666895709253005,48.72374366046522,64.65644865514001,80.72782563704261,185.36250121808155,225.10878103193951,12.333333333333334
0,00:30:00,71.35574608763,54.194326018054,61.93147502011932,18.017517559250507,35.11454970426091,45.6256930413549,62.01348148650617,78.00117864024067,184.43661675847744,225.03537752414385,12.333333333333334
0,01:00:00,74.91300190663173,56.062315715734925,63.39753693210592,20.35177917048327,37.049422084847876,47.760235156644974,63.27886726790934,83.17165043852734,188.52101707587403,227.09368842457246,12.325396825396826
0,01:30:00,72.23365904686196,55.27268303712748,60.79694712910349,20.527134394193503,36.785057446399904,47.42011399262381,62.0876133672487,79.0320003969193,182.88012646603732,223.9749884317548,12.34920634920635
0,02:00:00,71.88562438935718,54.709286618731056,60.57045307835969,20.486159500236855,36.79727634170213,47.13954410695392,61.464714710350044,78.45985753052643,182.50823274401856,223.01495648222283,12.34920634920635
0,02:30:00,70.70397532143741,53.88987489834203,61.4620925733664,18.716705073628297,35.15237059848989,45.62173472978987,60.52530457682699,77.6002556910277,182.34897266506624,224.60533390386544,12.38888888888889
0,03:00:00,72.92539677761076,54.74142193596048,62.142293085613794,20.206134236847515,36.15091957816672,46.5094541753125,61.25726591720316,81.04413065388857,184.83925260808428,225.11782716574763,12.404761904761905
0,03:30:00,71.1503135505682,54.404968799150204,60.258856830664115,20.307283083114417,36.31341230303445,46.372459931461115,60.63045027617752,78.357606184961,180.8369231369166,222.85409151251196,12.396825396825397
0,04:00:00,70.59458508090283,53.75266721184862,59.93750252563119,20.262547008679796,36.114668916791054,46.13232326072445,59.983701802429046,77.04940533026014,180.15417770909187,221.9427742556947,12.404761904761905
0,04:30:00,69.66930423711021,52.42486902276395,60.83731208805521,18.71040644718724,34.9917592577968,44.378671284004966,59.30859514994234,76.07499011129151,180.05369363149228,223.0491105788887,12.38888888888889
0,05:00:00,71.95777010014032,53.89397974365435,61.43212384198714,20.22712792745753,36.07516012416454,45.84932695847259,60.890279032098746,79.36260160919909,183.2498141153493,223.30900717191128,12.30952380952381
0,05:30:00,71.18738907469643,54.271913199087805,60.39740499500375,20.194881352926952,36.227823596351975,46.091548936494576,60.76072319005367,77.87503618388365,181.04066485343486,222.43880713121123,12.253968253968255
0,06:00:00,71.2080439611313,54.67791369330258,60.24958133820131,20.483572271400742,36.497171056868964,46.4089332669789,60.57094155430421,77.38187512649651,180.79103809332798,223.01412474714647,12.317460317460318
0,06:30:00,72.2168402438361,55.334823088632355,63.47648024108986,18.43420699645419,35.6377264594122,46.50579233092004,62.253386117175054,78.3211564815754,187.7057422945778,231.15283021451864,12.380952380952381
0,07:00:00,75.41763941010423,57.80101881060585,64.59561368957458,20.098140525363117,37.63613336430915,48.824321152054445,64.28864185993844,83.0628891840581,191.69523028966356,233.47174359126547,12.357142857142858
0,07:30:00,75.00620580018519,58.37871007078237,63.70490053962623,20.708892291352164,38.3312759990425,49.463960345110976,64.70331815616483,80.72917018392242,190.32287026583973,233.58834466303318,12.333333333333334
0,08:00:00,74.99567461594164,58.73522004229234,63.34696895753265,20.74123276754264,38.64065959692609,49.7961871664378,65.28850689364955,80.6095021436294,189.72276094794563,232.53656973425822,12.341269841269842
0,08:30:00,74.69827240255859,57.919781267016404,64.67829928372706,18.683428593438084,36.95654736493269,48.508390539590955,65.63389517387964,81.2937715914655,192.70544678712662,235.5689645921151,12.492063492063492
0,09:00:00,76.97583519748706,59.6700827864846,65.12842015206935,20.01208667248537,38.59450698799401,50.088776079693886,67.12181765622033,84.88701910968801,195.01405093557625,235.22315932669346,12.412698412698413
0,09:30:00,76.3740940367078,59.92108921760128,64.04489170131797,20.589204590776042,39.1786812785266,50.57185765513667,67.31170986623253,83.08244666472557,192.6036506277984,234.12867845160343,12.317460317460318
0,10:00:00,76.18715901313604,59.77446817110886,63.76024791252763,20.710289842098792,39.09790391577135,50.56712445518142,67.40992951502068,82.42761855164436,192.38920619075398,233.64494401936898,12.380952380952381
0,10:30:00,75.76840023164281,58.52429131628008,65.48530685718585,19.228319058080235,37.66172435325745,48.563355755887706,67.24738970519483,81.56925189434163,195.47191801457956,238.05121184927475,12.46031746031746
0,11:00:00,77.75217858944363,60.46626242677451,65.46955197696325,20.307945806376303,38.98674423142367,50.42545695073764,68.52582040767753,85.55560266085907,196.27256572699076,237.05062709962675,12.396825396825397
0,11:30:00,77.5406028088827,60.2245574165995,65.41507231886435,20.762616447156983,39.18303604009881,50.994239669621585,68.40207646523096,83.44856686259267,196.98534872474505,238.79791581811094,12.396825396825397
