DayOfWeek,TimeOfDay,mean,median,std,quantile_05,quantile_25,quantile_40,quantile_60,quantile_75,quantile_95,max,count
0,00:00:00,3.204049846663356,1.9166447887554046,3.8767219864099642,0.18578285299045033,0.7292382611715535,1.4979436019903583,2.5487584080391645,3.9271290389639564,10.511497241672995,17.13350415128511,30.08730158730159
0,00:30:00,3.158818450265579,1.876067806974133,3.8485140452249533,0.18541168872726624,0.6900205646120884,1.4513114256529267,2.5208291641288945,3.8766585802728537,10.473994134754456,17.089814551662773,30.793650793650794
0,01:00:00,3.194383965325627,1.8816621673135732,3.874810187247745,0.19094083465099607,0.7070853361825168,1.4681920673551179,2.5369370217357163,3.966774821856349,10.583775087977248,17.0986300954542,30.182539682539684
0,01:30:00,3.204291591422571,1.9087772750626344,3.8657442109798774,0.1905559915539029,0.7195420843447642,1.48404064976062,2.5723310735710565,3.961639122736225,10.556852616749813,17.101352965855757,30.42063492063492
0,02:00:00,3.1935692857622744,1.8963710604838835,3.8685968162102617,0.1915253700948168,0.7131621369413108,1.473662930694351,2.497464853698768,3.951337661384885,10.571906620520439,17.09046517639654,30.341269841269842
0,02:30:00,3.164203012403386,1.866081466288857,3.8656056054572736,0.18690122616286606,0.7151111434897545,1.4596790390633603,2.4740779027884776,3.8827863697580054,10.538513833933154,17.15870965362587,30.77777777777778
0,03:00:00,3.197887671323251,1.899684008650588,3.862955789422047,0.19109789693897436,0.7311334997839609,1.4820554100720364,2.493485987679532,3.940592433188919,10.593017822283242,17.056426873098218,30.49206349206349
0,03:30:00,3.154028476970789,1.8708594783846433,3.844368296134141,0.18761996016977617,0.6747150072437115,1.4410479758194277,2.4685998677962337,3.9061202674222173,10.463440947197592,17.052207742404537,30.841269841269842
0,04:00:00,3.202430419827217,1.8748684049603834,3.879970995582783,0.19076375100273057,0.7289447419742447,1.4535930832193438,2.4935720387780393,3.977988985278598,10.615200522687168,17.056974865892258,30.42063492063492
0,04:30:00,3.1653651590788323,1.8641295578866535,3.838336681070281,0.1931219677539001,0.6929477163912237,1.4115513365264165,2.4431121356878513,3.9406252213928212,10.468533771944747,16.890628031916904,30.706349206349206
0,05:00:00,3.1835679764885625,1.8691243081997249,3.8481528490484096,0.19023734955887722,0.7232023355565801,1.441540470220942,2.502592468327931,3.9448324930902445,10.530240660325308,16.87957412993429,30.436507936507937
0,05:30:00,3.1484098448442266,1.858324248141636,3.787663773427437,0.19090143863776027,0.7073168591609729,1.445867519204209,2.45141242194268,3.9525714228420306,10.37039485037842,16.57851686607716,30.46825396825397
0,06:00:00,3.1476907802030074,1.8379491878094267,3.7938264869972644,0.18928314641414049,0.723722223683351,1.4404116727373435,2.4545319799945657,3.9290628214163705,10.434348535667496,16.540857883151823,30.1984126984127
0,06:30:00,3.1719113312141585,1.8670699229611452,3.852257321185492,0.18755225604274775,0.6988516284610906,1.4787401213542044,2.448221943306421,3.9195740536548884,10.674715568512976,16.80508120726571,30.753968253968253
0,07:00:00,3.190798364267106,1.9096673756913525,3.7674825411201205,0.1892744562494961,0.7343453606785844,1.540682496870035,2.490272642591889,3.9962423695766374,10.454922139529874,16.433754983920227,30.523809523809526
0,07:30:00,3.3337330621328967,2.042639562980459,3.7986012072701496,0.1987735895220355,0.8468036170940482,1.6442683620650227,2.6581086885852074,4.262561499335907,10.559926236861676,16.381654043475212,30.53174603174603
0,08:00:00,3.674043463734093,2.1626980731665393,4.19542714291385,0.2370213101824884,0.9111866436079946,1.7425471769309315,2.918832927877186,4.619170030415576,12.187786075349102,16.974255697970182,30.49206349206349
0,08:30:00,4.704173477484319,2.75777339998562,5.061347289953951,0.2079886923418928,1.1393546733800848,2.0377829663666707,3.8732609606793327,6.588077168258827,14.807857479926732,19.0338791489399,29.984126984126984
0,09:00:00,8.837504820292407,7.6230306590781725,6.859805220817009,0.5674466804243352,2.9066079477812465,5.75782819476231,9.983722970205994,13.766823815620569,20.507672122310773,22.211720556979845,27.928571428571427
0,09:30:00,10.5717212102548,10.031450996233847,6.522530608177058,1.5634826244452564,5.509026091758246,8.073338665594974,12.337790110705305,15.729626414893962,20.635578132886195,21.878951590169248,26.03174603174603
0,10:00:00,10.744604984300747,10.10015251371416,6.404620322603238,1.738743379496009,5.963220266367124,8.312885431251972,12.401306468337062,15.566862534836108,20.69495857443564,22.10655344032898,25.984126984126984
0,10:30:00,10.488376932121417,9.58687651199554,6.369552491245851,1.731998761231115,5.617313714862333,7.881129385320697,12.123982766424394,15.42409457911038,20.513081990990756,22.00330451243235,27.96825396825397
0,11:00:00,10.66479294442516,9.734053088225062,6.308041418459287,1.9862957259231386,5.808222739733956,8.080066775311277,12.166626294409244,15.5115101268325,20.73075948397596,22.126996626780787,27.833333333333332
0,11:30:00,10.934682867624087,10.299357637448098,6.283397640965713,2.021117189905391,6.091665398269259,8.377899237905138,12.729713674542099,15.938756527204518,20.651052854689553,22.12069487779735,27.746031746031747
0,12:00:00,10.944064956412213,10.115418918639481,6.2906836781607085,2.045721649700091,6.123255845279362,8.339927899777072,12.763908390718244,15.919880089559822,20.717447269807455,22.099580033530867,27.76984126984127
0,12:30:00,10.81795599429901,10.084697544052656,6.373708065692661,1.9306515892499834,5.786921379564588,8.193428095232116,12.667087948371854,15.78724702398298,20.745490587256732,22.193803288902455,28.349206349206348
0,13:00:00,10.940944549482248,10.341464419021658,6.312143059328192,2.040230630247456,6.057030458075983,8.376847984249352,12.77347630806419,15.918488805990151,20.77275673558441,22.000201936287713,27.57936507936508
