mean,median
1.2972697104474775,1.2132090132090128
3.5658831762938688,1.575
3.238950211064589,2.764705882352941
3.7944872602484443,2.7301587301587302
6.777217430424774,5.8625
8.812391338707128,7.7894736842105265
1.7241951031424716,1.3714285714285714
3.4956708181625182,3.260869565217391
1.8788135312103111,1.5299145299145298
4.156277161398364,2.0555555555555554
4.321932725070058,1.386138613861386
3.9133526189460204,3.3333333333333335
2.924675998448418,2.0641025641025643

Samples used to generate histogram plot: 383178
