DayOfWeek,TimeOfDay,mean,median,std,quantile_05,quantile_25,quantile_40,quantile_60,quantile_75,quantile_95,max,count
0,00:00:00,2.2647042474163817,1.4971523870273886,2.4973956783247444,0.2604738793549594,0.7749671282913009,1.1960984643238224,1.864972967725737,2.690713233714885,6.3232119717141275,7.906162233607417,9.587301587301587
0,00:30:00,2.2304845521299583,1.458596424360618,2.4442710773333083,0.24959383096240592,0.7622427030573479,1.1572741399748303,1.8335978339756014,2.691618874516318,6.252458590421155,7.690778777247267,9.642857142857142
0,01:00:00,2.2333627899583286,1.4933746174305162,2.440098729796545,0.2620816287637487,0.7722234027292002,1.1884999059701167,1.8519810049109438,2.6800086440559,6.197264440062437,7.743797730411329,9.587301587301587
0,01:30:00,2.270796534345262,1.517990858879817,2.4971908657851865,0.2592448621546369,0.7761745053206713,1.1865445663034466,1.882125440590214,2.704585149998129,6.340476505833167,7.9594566911801055,9.65079365079365
0,02:00:00,2.242435014347245,1.463528159737456,2.476162876368564,0.24998893655745177,0.7535695171389407,1.1522709350844116,1.8649505221478335,2.701825293023642,6.269637617512209,7.888404959963307,9.674603174603174
0,02:30:00,2.2007245537516624,1.4336114339104704,2.4095963089756913,0.24304313029603333,0.735441481601859,1.128934653252307,1.8224648600503088,2.6927107405691015,6.134614076773487,7.60985640462315,9.722222222222221
0,03:00:00,2.2495550401937425,1.46151849286017,2.4897200861643243,0.2612122929256597,0.769416545482527,1.1365445162344245,1.8540210497685703,2.6814760167738596,6.323340530945085,7.908749226297531,9.698412698412698
0,03:30:00,2.3062059147439964,1.4421866083625818,2.582467262969631,0.25741809054775894,0.7526587728966985,1.1385711936117968,1.8713548894750256,2.741159368514049,6.556695635015976,8.150598886171023,9.73015873015873
0,04:00:00,2.231409897509796,1.4508780897523739,2.468245662977258,0.257010273475029,0.7607972434816589,1.1333038053005382,1.8323997512323777,2.7049001950945417,6.252895913475228,7.866566971436269,9.658730158730158
0,04:30:00,2.227030378609182,1.41188503846541,2.464297494477367,0.24399050145586848,0.7400691597641166,1.0987224570796612,1.8348103039307335,2.7453187437843316,6.269514208371161,7.7980255067278375,9.722222222222221
0,05:00:00,2.2238852053998652,1.4394459370139037,2.434427238838025,0.25357417860667014,0.7576319107802438,1.1476843048224987,1.8277338542862374,2.6944529869268736,6.206084428374148,7.62910926789895,9.642857142857142
0,05:30:00,2.2985562734811373,1.4554790244259426,2.611478151622892,0.2517284772335033,0.7604932692198713,1.134447760861653,1.8443239191159302,2.738274621988423,6.604759237337088,8.310731070670235,9.746031746031745
0,06:00:00,2.2654255180183003,1.4624833853008259,2.5128877156066936,0.24565606740938173,0.752493923790665,1.1330960650813768,1.8502661552476443,2.7245099650168623,6.427064538984482,7.899231210977084,9.722222222222221
0,06:30:00,2.2922229318204397,1.4424784198932903,2.6129307583224075,0.24942759037845275,0.7532078075861255,1.1384826656260334,1.823850384037221,2.70933101874932,6.608339535368756,8.346609004738067,9.753968253968255
0,07:00:00,2.1962305710904904,1.4360712461525278,2.3751644364938542,0.25135950514774197,0.7550474437424618,1.1289505431811542,1.8130050489749352,2.65000432506118,6.094089895377416,7.335357916911557,9.468253968253968
0,07:30:00,2.394955953788063,1.6698938213622079,2.5255092159423502,0.2632537380853747,0.8125983355126184,1.2736641209588602,2.0943521198034882,2.981574238981623,6.449452847616603,7.807711586537066,9.357142857142858
0,08:00:00,2.9334261759716354,1.8799176066144117,3.1409120809078517,0.2750326701994282,0.8528208468555113,1.3702363066862664,2.600455578914555,4.0633055313182975,7.848518074342115,9.270305121855698,9.0
0,08:30:00,3.115612904163748,1.9901539630944867,3.3930955822481357,0.2538243795062193,0.7865033020701044,1.3238085428286335,2.8293385750756213,4.375783810361213,8.274487017872708,9.475130594043884,8.023809523809524
0,09:00:00,4.212968505999952,3.2096872769621934,4.204820054187442,0.31574722453139087,1.0659224561738825,1.9008533633789195,4.443005603403587,6.739420554410019,10.07805552240927,11.0477830437009,8.26984126984127
0,09:30:00,4.477670420399111,3.9006914597504063,4.000778464405595,0.40692529439296266,1.5571342250765943,2.9829566010879183,4.876110496177668,6.793572786677635,9.833299974737741,10.689702935651328,7.992063492063492
0,10:00:00,4.368866835183012,3.746508658696968,3.9105550856261075,0.4279115802580646,1.6427782548562369,2.969823371992821,4.654353003260912,6.379797172016739,9.689871781095514,10.682183922278048,8.0
0,10:30:00,4.3448901392394434,3.804555349058456,3.8379317739698195,0.39975988355361924,1.6077102297405437,2.985421687638199,4.65434774225087,6.38633689610971,9.625776739150332,10.53957230592337,8.19047619047619
0,11:00:00,4.4941775481188575,3.888887078883295,3.911934707734201,0.46563091636665055,1.7647778400108167,3.2047518130234245,4.690881088597488,6.527758111923132,9.848975401655284,10.807252830429928,8.087301587301587
0,11:30:00,4.466296311017497,3.866839063525846,3.8259753441582682,0.5193748626347332,1.9059815564479061,3.1190631674822717,4.708439181160272,6.437101308693157,9.689590530315327,10.601554210908638,7.968253968253968
0,12:00:00,4.464702752460256,3.8817092516686635,3.780714203907969,0.5052560214813463,1.9136795211318336,3.1910780806806267,4.704985215625851,6.5025091760132785,9.582077551416338,10.441374039322762,7.968253968253968
0,12:30:00,4.349837622129866,3.8062248695723344,3.7139586060873926,0.466217619329379,1.9129386044189438,3.090976026862051,4.6109686788629585,6.255496057571069,9.395692953926012,10.37173401945356,8.071428571428571
0,13:00:00,4.399273938224542,3.8860086742404762,3.661630352135907,0.567852532839906,1.9347841446306362,3.2196026715883788,4.671165393780608,6.344274332707883,9.309592581372499,10.143896265449587,7.904761904761905
